Product Name ,Product Cost,feedback ,Link,Product_Img_Link,Details
Streax Hair Serum Vitalized With Walnut Oil  (100 ml),408.0,"Good packaging of the product. Product is received in a good condition at an affordable price. Thank you  Flipkart. :- This product was super and packing also very nice the hair oil was  useful to me and such a wonderful product and price is very low and good quality  u must by in this product to your house, thank you Flipkart ❤️ :- Good product i got it at 168rs ,thanks flipkart for delivering this good product at good condition. It is my all time fav. This is very essential after sampoo to smoothing and glowing your hair.",,,"Let dull and frizzy hair be a story of the past! Add shine to your hair anytime, anywhere using Streax Hair Serum with Walnut Oil. Enriched with the natural goodness of walnut oil and vitamin E, hair feels more manageable, silky-smooth and frizz-free.1 Hair SerumIdeal For: Men & Women Hair Type: All Hair Types For Damaged Hair Formulated For: Straightening & Smoothening"
"L'Oréal Professionnel X-Tenso Care Serum | For Smooth, Manageable Hair  (50 ml)",955.2,"Fourth time using,  Extremely good product. :- I got orginal product. Thankyou :- Nice",,,The Prokeratin-Incell fusion recharges depleted moisture levels and controls volume.*  7X** stronger hair.  4X** more manageability.  4X** more hydration.  *Instrumental tests vs non conditioning shampoo.  **Instrumental shampoo + mask + leave-in vs non-conditioning shampoo.  How to use - Apply a small amount to towel-dried hair and spread evenly through lengths and ends. Do not rinse.Serum BottleIdeal For: Men & Women Sulfate Free Hair Type: Straight Hair For Chemically Treated Hair Formulated For: Straightening & Smoothening
LIVON Hair serum for Men and Women dry rough hair  (100 ml),393.6,I love it especially the smell. My hair getting smooth and easy to comb. Will repurchase. Thank you :- livon serum is my all time favourite...but I am using this livon serum for the first and it's awesome guys... it works so good on curly hair..I am happy :- I am using this serum from past 3 years and it's result is too good. It works so good on curly hairs. Am loving it guys. Also it protects ur hairs from heat of various styling tools which makes it more worthy. Highly recommended guys.,,,"Sometimes dealing with your hair can be like dealing with a stubborn little child. This Livon Serum has been specially crafted for dry, rough and excessively frizzy hair. It helps you style hair that is unmanageable and so hard to control. Benefits This Livon Serum instantly eliminates frizziness. It also helps you manage and control your hair. The Moroccan Argan Oil extracts of this serum give your hair the much-needed smoothness it deserves so that you can enjoy hair that has volume. Its non-sticky formula does not make it limp. 1 Bottle of Livon Dry and Unruly HairIdeal For: Women Sulfate Free Hair Type: Dry Hair For All hair Formulated For: Shine & Gloss, Anti-frizz"
"LIVON Hair Serum for Women & Men for Dry and Rough Hair, 24-hour frizz-free Smoothness  (50 ml)",259.2,not that much good...my hairs are curly...and it's not good for my hairs....it make them soft only for10mins...i don't like it..but thee delivery boy is very good person :- I thank livon serum for making my life so easy . while getting late going somewhere . there really no need to go salon . I just use few drops of livon . And I get salon finish look . thanku livon serum a lot.... #SalonNahinLivon :- It is an amazing product. I use it everyday. I'm very happy with the product. Absolutely love it,,,"Sometimes dealing with your hair can be like dealing with a stubborn little child. This Livon Serum has been specially crafted for dry, rough and excessively frizzy hair. It helps you style hair that is unmanageable and so hard to control. Benefits This Livon Serum instantly eliminates frizziness. It also helps you manage and control your hair. The Moroccan Argan Oil extracts of this serum give your hair the much-needed smoothness it deserves so that you can enjoy hair that has volume. Its non-sticky formula does not make it limp. Livon Silky Potion Hair Detangling Fluid 50mlIdeal For: Women Sulfate Free Hair Type: All Hair Types For Colored Hair, Chemically Treated Hair Formulated For: Shine & Gloss, Straightening & Smoothening"
"USTRAA Anti Dandruff Hair Serum, Controls 99% Dandruff, Dermatologically Tested  (200 ml)",483.20000000000005,"I’ve been using this for about four months now & still love it. I’ve found it very effective to freshen my hair. by applying a small amount to my scalp. It makes it smell great again. Helps my hair actually grow fast ! Less fallout from breakage. :- Go for it. Great hair serum, I used it will the same brand and line shampoo and conditioner, it compliments best with all the other products and give your hair a great look without a sticky fell. Overall a genuine product. :- I loved this serum it  makes the hairs soft and shiny and also it smells so good and refreshing easy to apply with the spray",,,"Now fighting dandruff isn't just a shower thing. Ustraa Anti-dandruff Shampoo helps fight dandruff-causing fungus by working directly on your scalp. Shampoos work on your hair only for a few minutes. This is a water based spray that keeps your hair oil-free and helps keep your scalp clean.1 Anti Dandruff Hair SerumIdeal For: Men Sulfate Free Hair Type: All Hair Types For All hair Formulated For: Nourishment, Conditioning, Anti-frizz, Anti-hair Fall"
Streax Hair Serum with Walnut Oil (3*100 ml)( pack of 3)  (300 ml),1075.2,Bad product & product quality very badI want to replace or return this items :- Worst products :- very bad products of low quality don't buy any one and full mix of water oil we are not satisfied with this products,,,"Let dull and frizzy hair be a story of the past! Add shine to your hair anytime, anywhere using Streax Hair Serum with Walnut Oil. Enriched with the natural goodness of walnut oil and vitamin E, hair feels more manageable, silky-smooth and frizz-free.3 hair serumIdeal For: Men & Women Sulfate Free Hair Type: All Hair Types For Permed Hair, Damaged Hair, Chemically Treated Hair, Colored Hair Formulated For: Shine & Gloss, Straightening & Smoothening, Nourishment, Anti-frizz"
Vedix Customised Ayurvedic Hair Fall Serum | Prachay Serum For Moderate Hair Fall | With Green Tea + Ginseng + Moringa | For Reducing Hair Fall | For Hair Growth | 30ml  (30 ml),758.4000000000001,Nice 👏👏👏👍👍 :- Nice :- Poor quality serum,,,"Ayurvedic serum that provides nourishment from the roots to regulate moderate hair fall and hair thinning.  Vedix Prachay Serum For Moderate Hair Fall With Green Tea + Ginseng + Moringa is customized with herbs that work together to reduce hair fall and repair damaged hair. The serum regulates hair fall while treating other scalp infections. It strengthens hair from the roots and prevents breakage.   Reduces hair fall and promotes hair growth: Amino acids present in green tea strengthens hair and reduce hair fall. The antioxidants in the serum provide nutrients to the scalp and hair. Prevents hair thinning: Ginseng nourishes the hair follicles and promotes thicker and healthier hair. It significantly reduces thinning and increases hair density.Ideal For	Men & Women
Serum Type	Oil
Applied For	Anti-hair Fall
Hair Type	All Hair Types
Hair Condition	All hair
Organic Type	Green Tea, Ginseng & Moringa
Maximum Shelf Life	24 Months
Sulfate Free	YesIdeal For: Men & Women Sulfate Free Hair Type: All Hair Types For All hair Formulated For: Anti-hair Fall"
"USTRAA Hair Growth Vitalizer - Boosts hair growth, Hair Oil With Redensyl - Pack of 2  (200 ml)",1342.4,"I have been using this product since long time and my personal experience is gr8 with this product for sure this product will help you in hair loss, this is the first time I bought this product from e-commerce platform and my experience was good enough overall its a thumbs up product go for it, worth for each penny spend. :- It worked brilliantly ...this hair growth vitalizer comes with every essential mineral and vitamins which needs for healthy hair ..it helped in roughness of hair and also in shining ...hair loss decreased remarkably....thums up for overall hair growth :- Quality of this hair growth vitalizer is very good , it really works on my hair scalp also it's fragnance is very good , it helps in reducing my hairfall and also reduces the greying of hair , it leaves my hair shinny and healthy , must buy this vitalizer for healthy hair growth.",,,"Everything your hair needs, now in one bottle. It boosts hair growth, reduces hair fall, delays greying, thickens hair, checks split ends and provides all the nutrition that you need for healthy hair. Made with scientifically proven Redensyl, Saw Palmetto, Omega 3, Omega 6, Keratin, Collagen, 7 Vitamins, 17 Amino Acids, and 3 Minerals. This is a non-oily, non-greasy serum, that keeps your hair healthy and well nutritional.2 Hair Growth VitaliserIdeal For: Men Sulfate Free Hair Type: All Hair Types For Damaged Hair Formulated For: Nourishment, Conditioning, Volumizer, Anti-hair Fall"
"LIVON Serum for Rough & Dry Hair,Pack of 3  (150 ml)",771.2,Nice product. Worth money :- Not good don't buy waste of money 😔 :- Best 👍,,,"Livon Serum for Rough & Dry Hair has been specially crafted for dry, rough and excessively frizzy hair which is unmanageable and so hard to control! Enriched with rich Moroccan Argan Oil extracts, Livon Serum for Rough & Dry Hair moisturizes hair intensely but without any limpness, cutting away all the frizz, bringing back volume control and giving intense smoothness that lasts for 24 hours! Just apply a few drops on towel dried hair and feel your hair smoothen even as it dries.  Livon Serum for Rough & Dry Hair- get intense smoothness that lasts an entire day.3 Packs of Rough and Dry Hair Serum 50 ml EachIdeal For: Men & Women Sulfate Free Hair Type: Dry Hair For All hair Formulated For: Conditioning"
WOW SKIN SCIENCE Hair Loss Control Therapy Serum  (100 ml),569.6,It's amazing product for frizzy hair......I have already used one....It will take a year for a bottle to finish... thank you Flipkart and wow......for this wow product :- nice product :- Nice,,,"Advanced anti-hair loss serum with natural DHT blockers.Non-greasy, non-sticky hair serum with natural DHT blockers and hair nourishing bioactives for powerful anti-hair loss action that effectively reduces hair fall by naturally blocking the DHT hormone, proven by research to be responsible for hair loss.Easy spray and comb usage shields from hair loss and tames frizz, flyaways and split ends for sleek and silky tresses.Contains Ayurvedic Herbal Extracts – Bhringraj, Amla, Neem, Henna, and Shikakai; Western Herbal Extracts– Lemon and Biotin, Rosemary, Saw Palmetto and Niacin; and Sweet Almond, Castor, Jojoba and Argan Oils.Holistically healthy formula totally without parabens, mineral oils, silicones, or color.1 hair serumIdeal For: Men & Women Sulfate Free Hair Type: All Hair Types For All hair Formulated For: Shine & Gloss"
